gram,freq
en,10
ar,9
er,7
an,6
al,5
in,5
le,5
on,5
or,5
ra,5
re,5
ca,4
co,4
de,4
ge,4
is,4
la,4
ou,4
te,4
tr,4
ur,4
ce,3
ch,3
ha,3
ma,3
mi,3
pa,3
pe,3
pl,3
pr,3
ri,3
st,3
ve,3
as,2
at,2
br,2
ck,2
cr,2
ea,2
es,2
gl,2
he,2
ho,2
ic,2
il,2
it,2
li,2
lo,2
ly,2
mo,2
nt,2
ol,2
ro,2
ry,2
su,2
ti,2
to,2
ua,2
ul,2
us,2
ac,1
ad,1
ag,1
ai,1
ba,1
bl,1
cl,1
cu,1
dg,1
di,1
el,1
ex,1
fe,1
fl,1
fo,1
fu,1
fy,1
gh,1
gr,1
hi,1
ht,1
ia,1
id,1
if,1
io,1
iv,1
iz,1
ju,1
ll,1
me,1
na,1
nc,1
nd,1
ne,1
ng,1
no,1
og,1
om,1
ow,1
ph,1
po,1
qu,1
rd,1
ru,1
se,1
sh,1
sp,1
ss,1
ta,1
th,1
ty,1
ub,1
un,1
ut,1
wa,1
xp,1
ze,1
