gram,freq
e,18805
i,14933
a,13957
t,12687
r,12190
n,11997
o,11063
s,9555
l,8925
c,7828
u,6316
p,5249
m,5246
d,5024
g,3783
h,3564
y,3275
b,3175
er,3006
ti,2858
on,2830
in,2624
at,2488
f,2370
en,2284
re,2178
te,2162
v,2055
le,2030
an,1886
nt,1882
al,1839
st,1781
ra,1781
io,1767
is,1713
ar,1571
ic,1524
ri,1522
li,1480
ion,1451
or,1449
it,1434
co,1351
de,1339
tio,1235
tion,1202
es,1199
k,1157
w,1148
ro,1146
ta,1117
ve,1101
la,1100
ati,1080
di,1033
un,1027
ca,1021
ce,1006
tr,1001
ng,990
se,968
me,968
ma,964
ne,942
ent,936
nc,916
us,910
na,890
et,888
si,884
ou,879
pe,877
il,822
atio,810
el,804
ed,801
ni,800
ch,793
ac,790
nd,787
lo,783
ur,782
mi,779
pr,765
ol,750
ea,739
ate,736
ss,735
ia,735
ge,725
bl,721
ab,720
to,718
he,713
as,701
ul,698
ing,696
ec,689
om,679
ll,673
ty,671
ct,658
th,651
pa,635
em,633
po,605
ci,603
z,597
ter,593
ns,583
sh,580
ble,578
mo,561
im,558
ry,554
x,537
am,537
iv,534
no,530
mp,530
ha,528
rt,526
ist,516
ho,515
con,499
tu,483
hi,482
sc,481
ad,481
ap,472
id,470
os,467
su,463
ity,463
ag,458
sp,457
um,443
tic,443
ut,442
ous,442
op,433
ot,432
so,431
nce,430
sa,428
be,428
cr,426
vi,423
ig,420
ie,416
men,412
ee,412
rat,409
pi,405
ant,405
bi,404
pl,399
og,398
cu,396
ess,395
ga,394
ir,391
abl,391
able,386
gr,385
fi,382
ba,380
ru,375
ive,373
ep,365
ly,364
ica,363
lu,362
ver,360
ph,359
oc,359
ai,357
qu,354
q,354
per,351
ment,348
ex,348
oo,346
iz,342
ali,341
gi,338
dis,338
res,328
sm,327
tra,326
ck,323
ke,317
rr,312
va,311
tt,311
pro,311
rs,309
sti,305
lit,305
if,305
fe,304
bo,302
do,301
ze,296
cl,295
j,290
era,290
cti,290
ov,289
str,288
pre,288
ip,287
ine,286
rm,284
enc,284
da,284
fu,283
tor,282
der,282
od,281
man,280
rd,279
ib,278
int,272
au,272
nte,270
ect,270
ran,269
cal,269
est,266
lat,263
fo,263
br,262
nti,260
nde,259
ua,258
eg,258
bu,257
ef,255
uc,253
tri,253
pu,253
ste,248
rc,248
com,247
ui,246
ev,243
pp,242
cat,242
tiv,240
fl,240
anc,240
ow,238
rn,234
ili,232
sta,230
ina,230
wa,229
ue,229
nat,228
ove,226
fa,226
mu,225
mb,225
av,225
min,224
tat,222
ize,221
ub,220
ten,219
ff,218
pt,217
ob,217
ari,217
tin,216
und,215
the,215
du,215
iti,213
her,212
gl,212
eri,212
lt,209
ial,209
up,208
lin,208
go,207
gra,205
les,204
ud,203
tive,203
hy,203
mm,202
ism,201
age,200
mat,197
ast,197
ona,196
nal,196
par,195
ish,194
lity,192
gu,191
ort,190
lis,190
ill,190
rea,188
nta,188
mis,188
ula,186
ers,186
dr,186
rati,185
oi,184
nn,184
nf,184
log,183
ssi,182
rin,182
fr,182
end,182
imp,180
ence,180
olo,179
nu,179
all,179
den,178
rec,177
tur,176
sio,176
sy,175
ita,174
ure,173
rg,173
ical,173
cy,172
vo,170
ric,170
we,169
sion,169
act,168
ria,167
for,167
inc,166
rit,165
over,165
ance,165
tal,164
and,163
nk,162
ere,162
ele,162
gh,160
ide,157
ici,157
wi,156
ons,156
eme,156
ary,156
ki,155
ful,155
ctio,155
iou,154
ei,154
tan,153
sl,153
oni,153
less,153
ious,153
