gram,freq
e,18805
i,14933
a,13957
t,12687
r,12190
n,11997
o,11063
s,9555
l,8925
c,7828
u,6316
p,5249
m,5246
d,5024
g,3783
h,3564
y,3275
b,3175
er,3006
ti,2858
on,2830
in,2624
at,2488
f,2370
en,2284
re,2178
te,2162
v,2055
le,2030
an,1886
nt,1882
al,1839
st,1781
ra,1781
io,1767
is,1713
ar,1571
ic,1524
ri,1522
li,1480
ion,1451
or,1449
it,1434
co,1351
de,1339
tion,1202
es,1199
k,1157
w,1148
ro,1146
ta,1117
ve,1101
la,1100
di,1033
un,1027
ca,1021
ce,1006
tr,1001
ng,990
se,968
me,968
ma,964
ne,942
us,910
na,890
et,888
si,884
ou,879
pe,877
il,822
el,804
ed,801
ni,800
ch,793
nd,787
lo,783
ur,782
mi,779
pr,765
ol,750
ea,739
ate,736
ss,735
ia,735
ge,725
bl,721
ab,720
to,718
he,713
as,701
ul,698
ing,696
om,679
ll,673
ty,671
ct,658
th,651
pa,635
em,633
po,605
z,597
sh,580
mo,561
im,558
ry,554
x,537
am,537
no,530
mp,530
ha,528
rt,526
ist,516
ho,515
con,499
tu,483
hi,482
sc,481
ad,481
ap,472
id,470
os,467
su,463
ity,463
ag,458
sp,457
um,443
ut,442
ous,442
op,433
ot,432
so,431
nce,430
sa,428
be,428
cr,426
vi,423
ig,420
ee,412
pi,405
ant,405
bi,404
pl,399
og,398
cu,396
ess,395
ga,394
ir,391
able,386
gr,385
fi,382
ba,380
ru,375
ive,373
ep,365
ly,364
lu,362
ph,359
ai,357
qu,354
per,351
ment,348
ex,348
oo,346
sm,327
tra,326
ck,323
ke,317
rr,312
va,311
tt,311
pro,311
sti,305
lit,305
if,305
fe,304
bo,302
do,301
cl,295
j,290
ov,289
str,288
pre,288
ip,287
ine,286
rm,284
da,284
fu,283
tor,282
od,281
rd,279
int,272
au,272
ran,269
cal,269
est,266
lat,263
fo,263
br,262
bu,257
tri,253
pu,253
ste,248
com,247
ui,246
ev,243
pp,242
fl,240
ow,238
rn,234
sta,230
wa,229
ue,229
nat,228
ove,226
fa,226
mu,225
av,225
min,224
ize,221
ub,220
ten,219
ff,218
pt,217
ob,217
tin,216
the,215
du,215
gl,212
lt,209
ial,209
up,208
lin,208
go,207
gra,205
les,204
ud,203
mm,202
ism,201
age,200
mat,197
ast,197
nal,196
par,195
ish,194
gu,191
lis,190
ill,190
rea,188
mis,188
dr,186
oi,184
nn,184
rin,182
fr,182
imp,180
ence,180
nu,179
all,179
den,178
tur,176
ure,173
vo,170
we,169
sion,169
act,168
for,167
tal,164
and,163
nk,162
gh,160
ide,157
wi,156
ary,156
ful,155
sl,153
ass,153
tro,151
gen,150
gn,148
cha,148
hu,147
one,144
ind,143
mon,142
ug,140
ret,139
art,138
ang,138
oun,137
ven,135
ren,135
ite,135
ain,135
rou,134
nge,134
ell,134
wo,133
chi,133
che,132
omp,131
oa,131
ust,128
rp,127
lan,126
pos,125
tar,124
spe,124
rep,124
pen,123
af,123
ome,122
app,121
ew,118
comp,118
ple,117
unt,116
pla,116
ld,115
cor,115
car,115
ay,114
ice,113
tre,110
ear,109
ath,109
gg,108
cre,108
ny,107
ile,107
pri,106
mar,106
len,106
dd,105
eve,104
aw,104
tru,103
sen,103
que,103
ory,103
iss,103
ore,102
oll,102
ave,102
rop,101
ose,101
col,101
shi,100
qua,100
cont,100
can,99
ame,99
fy,98
att,98
inf,97
sur,96
sto,96
our,96
cou,96
fer,95
din,95
ade,95
har,94
sco,93
ost,93
lea,93
des,93
sin,92
arr,92
rem,91
ole,91
ick,91
