gram,freq,strong_ideation,prefix_ideation,midfix_ideation,suffix_ideation,notes_ideation_inhibitors,words_we_ideated,words_that_ideated_that_are_spell_wrong_actually,ideation_boosters
e,18805,y,y,y,y,,,,single letter
i,14933,y,y,y,y,,,,single letter
a,13957,y,y,y,y,,,,single letter
t,12687,y,y,y,y,,,,single letter
r,12190,y,y,y,y,,,,single letter
n,11997,y,y,y,y,,,,single letter
o,11063,y,y,y,y,,,,single letter
s,9555,y,y,y,y,,,,single letter
l,8925,y,y,y,y,,,,single letter
c,7828,y,y,y,y,,,,single letter
u,6316,y,y,y,y,,,,single letter
p,5249,y,y,y,y,,,,single letter
m,5246,y,y,y,y,,,,single letter
d,5024,y,y,y,y,,,,single letter
g,3783,y,y,y,y,,,,single letter
h,3564,y,y,y,y,,,,single letter
y,3275,y,y,y,y,,,,single letter
b,3175,y,y,y,y,,,,single letter
er,3006,n,y,n,y,rime diluted by morpheme,"her, per, era",,rime family (-er)
ti,2858,y,y,n,n,overly productive prefix; its own word,"tip, tie, tit",,
on,2830,m,y,n,y,rime diluted by morpheme; its own word,"one, son, con",,rime family (-on)
in,2624,m,y,n,y,overly productive prefix; its own word,"inn, win, bin",,
at,2488,m,y,n,y,overly productive prefix; its own word,"sat, fat, cat",,
f,2370,y,y,y,y,,,,single letter
en,2284,m,y,n,y,overly productive prefix,"end, men, ten",,
re,2178,n,y,n,y,broad morpheme; its own word,"are, red, ref",,
te,2162,n,y,n,y,broad morpheme,"ten, tea, tee",,
v,2055,y,y,y,y,,,,single letter
le,2030,n,y,n,y,broad morpheme,"let, led, lee",,
an,1886,m,y,n,y,overly productive prefix; its own word,"and, can, any",,
nt,1882,n,n,n,y,broad morpheme,"ant, into, want",,
al,1839,n,y,n,y,overly productive prefix,"all, pal, gal",,
st,1781,n,y,n,y,broad morpheme,"list, just, last",,
ra,1781,y,y,n,y,overly productive prefix,"ray, raw, ram",,
