word,emojis
a,😘;🅰️;💠
abacus,🧮
absorbing,🧽
acceptable,🉑
access,♿️
accessibility,🦾;🦿;🦻;🧏;🦮;🦽;🦼;🦯;🛗
accident,🫗
accordion,🪗
accounting,🧾
act,🤹
action,🎬️
active,🤸
actor,🎭️
actress,🎭️
address,📢
adhesive,🩹
admiration,🥹
admission,🎟️;🎫
adorable,🩷
adore,🥰
adult,🧑;👨;👩;🧓;👴;👵
aerial,🚡
aeroplane,✈️;🛩️;🛫;🛬
afraid,😨
again,🤦;🔄
age,🔞
agree,💯;👊
agreement,🤝
aid,🦻;⛑️;🩼
air,🪟
alarm,🚨;⏰️
alcohol,🍷;🍸️;🍹;🍺;🍻
ale,🍺
alert,🚨
alien,👽️;👾
almond,🌰
alpaca,🦙
alpha,🦁
alphabet,🔤
alternation,〽️
amazement,🫢
amble,🚶
ambulance,🚑️
amoeba,🦠
amount,🤏;🈷️
amulet,🧿;🪬
amusement,🛝;🎡;🎢
anatomical,🫀
anchor,⚓️;🔱
and,🫢;☠️;🫰;👫;🍽️;🍴;⛈️;⚒️;🛠️;🏹;🔩;🛋️;☪️
angel,😇;👼
angelic,😇;🪽
anger,😤;😡;😠;💢;🗯️
angle,📏;📐
angry,😤;😡;😠;👿;👺;💢;🗯️
animal,😺;😸;😹;😻;😼;😽;🙀;😿;😾;🙉;🙊;🐵;🐒;🦍;🦧;🐶;🐕️;🦮;🐩;🐺;🦊;🦝;🐱;🐈️;🦁;🐯;🐅;🐆;🐴;🫎;🫏;🐎;🦓;🦌;🦬;🐮;🐂;🐃;🐄;🐷;🐖;🐗;🐽;🐏;🐑;🐐;🐪;🐫;🦙;🦒;🐘;🦣;🦏;🦛;🐭;🐁;🐀;🐹;🐰;🐇;🐿️;🦫;🦔;🦇;🐻;🐨;🐼;🦦;🦨;🦘;🦡;🐔;🐓;🐣;🐤;🐥;🐦️;🐧;🦅;🦆;🦢;🦉;🦤;🦩;🦚;🦜;🪿;🐸;🐊;🐢;🦎;🐍;🐲;🐉;🐳;🐋;🐬;🦭;🐟️;🐠;🐡;🦈;🐙;🐚;🪼;🦞;🦑;🐌;🐛;🐜;🐝;🪲;🐞;🦗;🪳;🕷️;🪰;🪱
ankle,🦶
anniversary,💝;💞;💕;💏;💑;💐
answer,🟰
ant,🐜
antenna,📡;📶
anxiety,🫪
anxious,😟;😨;😰;😥;🫦
ape,🦧
apocalypse,🧟
apology,🙇
applause,👏
apple,🍎;🍏;🥧
application,🈸
appreciate,🙏
apprehend,👮
approval,👏
aquarium,🪼
archer,🏹;♐️
archery,🏹
argument,🫯
arm,💪;🦾
army,🪖
arrest,👮
arrival,🛬
arrow,💘;📲;📩;🏹;⬆️;↗️;➡️;↘️;⬇️;↙️;⬅️;↖️;↕️;↔️;↩️;↪️;⤴️;⤵️;🔃;🔄;🔙;🔚;🔛;🔜;🔝;🔀;🔁;🔂;▶️;⏩️;⏭️;⏯️;◀️;⏪️;⏮️;🔼;⏫️;🔽;⏬️
art,🎭️;🖼️;🎨
artist,🎨
arty,🎨
ascend,🪽
ask,🙏;🙇
ass,🫏
assassin,🥷
asterisk,✳️
astronomy,⭐️
at,🫵;🌆;🌉
atheist,⚛️
athletic,⛹️;👟
athletics,🤾;🎽
atom,⚛️
attraction,🧲
auto,🛺
automobile,🚗;🚘️;🛻
autumn,🍂;🥮
avalanche,🛘
aviation,🪽
avocado,🥑
award,🎖️;🏅
away,💨
awe,🫢
awesome,😃;😛;😎;👌;👏;🎉
awful,😔;😢;😞
awkward,😐️;😑;😶;😬;😳
ax,🪓
axe,🪓
baa,🐑
babe,💏;💑
babushka,🪆
baby,👶;🤱;👼;🐣;🐤;🐥;🍼;🚼️
back,🥹;🤚;🚪;🔙
bacon,🐷;🐖;🥓
bacteria,🦠;🧫
bad,👎️;🦹
badge,📛
badger,🦡
badminton,🏸
bag,🧳;👜;👝;🛍️;🎒;💰️
bagel,🥯
baggage,🛄;🛅
bait,🪤
bakery,🥯;🧁
balance,🤹;⚖️;♎️
bald,👴;🦲
ball,🏌️;⛹️;🤾;🍙;🎊;⚽️;⚾️;🥎;🏀;🏐;🏈;🏉;🎾;🎳;🏏;🏑;🥍;🏓;🎱;🔮;🪩;🧶
ballet,🥿;🩰
balloon,💬;🗨️;🗯️;💭;🎈
ballot,🗳️;☑️
bamboo,🐼;🎍
banana,🐵;🐒;🍌
band,🪈
bandage,🤕;🩹
bandana,🧕
banjo,🪕
bank,🏦;💰️;💴;💵;💶;💷;💸;💳️;💹;🏧;💱
banner,🎋
bar,🍫;🍶;🍾;🍷;🍸️;🍹;🍺;🍻;🏮;📊;🧼;⏸️;📶
barber,💇;💈
bare,🪾
barf,🤮
bargain,🉐
barrel,🍯
barren,🪾
barrier,🚧
basket,🧺
bat,🦇;🏏;🏓
bath,🛀;🛁
battery,🔋;🪫
beach,😎;🏄️;🐳;🐋;🐬;🐚;🌴;🏖️;🌞;👙;🩴
beacon,🚨
bead,🧿
bear,🐻;🐨;🍯;🧸
beard,🧔
bearer,🐍;♒️;⛎️
beast,💪
beat,🫀;🪘
beating,💓
beauty,👄;💇;🪷;🌹
beaver,🦫
beckon,🫴
bed,😴;🛌;🛏️
bee,🐝
beer,🫚;🍺;🍻
beet,🫜
beetle,🪲;🐞
befuddled,😕
beg,🙏;🙇
beginner,🔰
behind,⛅️;🌤️;🌥️;🌦️
believe,😮
bell,🫑;🛎️;🎐;🔔;🔕
belly,🫃;🫄
bench,💪
bent,🦵;🧢
berry,🍓;🫐
bet,👌;💰️
beverage,☕️;🍵;🍶;🍷;🧃
bewilder,🤦
biceps,💪
bicycle,🚴;🚵;🚲️;🚳
bicyclist,🚴;🚵
big,😃;🥺;🐯;🐅;🐆
bike,🚴;🚵;🚲️;🔐;🚳
bikini,👙
bill,💴;💵;💶;💷;💸
billion,💰️;💷;💸;💲
billionaire,🚤
bin,🚮
biologist,🧫;🧬
biology,🧫
bird,🦃;🐔;🐓;🐣;🐤;🐥;🐦️;🐧;🕊️;🦅;🦆;🦢;🦉;🦤;🪶;🦩;🦚;🦜;🪽;🪿;🪺
birdie,🏌️;🏸
birth,🍼
bison,🦬
bisque,🦞
bit,🤏
bite,🫦;🦟
biting,🫦
black,🖤;✒️;⚫️;⬛️;◼️;◾️;▪️;🔲;🏴
blame,😨;😞;😠
blank,😐️;😶
bleed,🩸
bless,⛪️
blessed,😇;🙏
blind,🦮;🦯
bloated,🫪;🫃;🫄
block,🫷;🫸
blond,👱
blood,🧛;🩸;🅰️;🆎;🅱️;🅾️
bloom,🪻
blossom,🌸;🌼;🌷
blouse,👚
blow,🍃;🌬️
blown,🤯
blue,🥶;😰;💙;🩵;🫐;👕;👖;📘;🧿;🔵;🟦;🔷;🔹
blush,😊;😚
boar,🐗
board,🛹;🎬️
boat,🚣;⛵️;🛶;🚤;⛴️;🛥️;🚢
body,💀;👂️;👃;👀;👁️;👅;👄
bolt,🔩
bomb,💥;💣️
bone,☠️;🦴;🍖;🍗
boo,👻
book,📔;📕;📖;📗;📘;📙;📚️
boom,💥;👊;🎆;🎇;💣️
boomerang,🪃
boot,🥾;👢
booze,🍷;🍸️;🍹;🍺;🍻
born,🍼
boss,😏
bottle,🍼;🍶;🍾;🧴
boulder,🪨
bouncing,⛹️
bouquet,💐
bow,🙏;🙇;🎁;🏹
bowl,🥣;🍜;🏈
bowling,🎳
box,🍱;🥡;🧃;🎁;🪗;📤️;📥️;📦️;🗳️;🗃️;🧰;☑️
boxing,🥊
boy,👦
brain,🧠
brainy,🤓
branch,🪹;🪺
brass,🪊
brawl,🫯
bread,🍞;🥐;🥖;🫓;🥯;🥪
break,💔;🔔
breast,🤱
breath,🫁
breathe,🫁
brew,🫖
brick,🧱
bridge,🌉
briefs,🩲
bright,😎;🧒;👦;👧;☀️;🌝;🌞;🔆
broccoli,🥦
broken,💔
brontosaurus,🦕
bronze,🥉
broom,🧹
brown,🤎;👞;🥾;🟤;🟫
brr,🧥
brush,🪥
bubble,💬;🗨️;🗯️;💭;🧋;🫧
bucket,🪣
buffalo,🦬;🐃
bug,🐛;🪲;🦗
build,👷;📲
building,🏛️;🏗️;🏠️;🏡;🏢;🏣;🏤;🏥;🏦;🏨;🏩;🏪;🏫;🏬;🏭️;🏯;🏰;🌆;🌇
bulb,💡
bull,🐂;🎯;♉️
bullet,🚅
bump,👊
bundle,🧣;🧥
bunny,👯;🐰;🐇
buoy,🛟
burger,🍔
burn,🪼;🔥
burp,🫧
burrito,🌯
burro,🫏
bury,🪏
bus,🚋;🚌;🚍️;🚎;🚐;🚏
business,🕴️;🈺
bust,👤;👥
but,😥
butter,🧈
button,🔄;🔀;🔁;🔂;▶️;⏩️;⏭️;⏯️;◀️;⏪️;⏮️;🔼;⏫️;🔽;⏬️;⏸️;⏹️;⏺️;⏏️;🔅;🔆;✅️;❎️;🅰️;🆎;🅱️;🆑;🆒;🆓;🆔;🆕;🆖;🅾️;🆗;🅿️;🆘;🆙;🆚;🈁;🈂️;🈷️;🈶;🈯️;🉐;🈹;🈚️;🈲;🉑;🈸;🈴;🈳;㊗️;㊙️;🈺;🈵;🔘;🔳;🔲
bye,👋
cab,🚕;🚖
cabbage,🥬;🥦
cabbie,🚕;🚖
cabinet,🗄️
cable,🚠;🚡
caboose,🚂
cactus,🌵
caddy,🏌️
cafe,☕️
caffeine,☕️
cake,🍥;🥮;🎂;🍰
calculation,🧮
calculator,🧮
calendar,📅;📆;🗓️
call,😥;🤙;📲
calm,😌;🪷
camcorder,📹️
camel,🐪;🐫
camera,🤳;🎥;📷️;📸;📹️;🎦
can,🥫;🗑️
cancel,✖️;❌️
cancer,🦀;♋️
candelabrum,🕎
candle,🕯️
candy,🍫;🍬;🍭;🪅
cane,🦯;🩼
canned,🥫
canoe,🚣;🛶
cantaloupe,🍈
cap,👲;🎓️;🧢
car,🚃;🚞;🚋;🚓;🚔️;🚕;🚗;🚘️;🚙;🛻;🚚;🚛;🏎️;🛞;🚨;🚡
card,♠️;♥️;♦️;♣️;🃏;🎴;💳️;🗂️;📇;🗃️;🪧;🪪;🟥;🟨
cardiac,💛
cardinal,⬆️;➡️;⬇️;⬅️
cardiology,🫀
care,💅
carousel,🎠
carp,🎏
carpenter,🪚
carpentry,🪚
carrot,🥕
cart,🛒
cartoon,💭
case,🛄;🛅
cash,💰️;💷;💸;💳️;🏧;💲
casino,🎰
cask,🪣
casserole,🥘
castle,🏯;🏰
casual,👕;👖
cat,😺;😸;😹;😻;😼;😽;🙀;😿;😾;🐱;🐈️;🐯;🐅;🐆
catch,🫴;🤾;🪝
caught,😦
caution,⚠️
celebrate,🥳;🥂;🎈;🎉;🎊;🪅
celebration,🥳;🙌;🎅;🤶;🎂;🎃;🎄;🎆;🎇;🎈;🎉;🎊;🎋;🎍;🎎;🎏;🎐;🎑;🎀;🎁;🎗️;🎖️;🪅;🎓️;🎌
cell,📱;📲;📵;📶;📳;📴
cemetery,🪦
censor,🤬
cereal,🥣
ceremony,🎑
chain,⛓️
chair,💺;🪑
champion,🏆️
championship,⛹️
change,🪸
chapel,💒;⛪️
charge,💳️;💲;🈂️;🈶;🈚️
charm,🧿
chart,💹;📈;📉;📊
check,🛫;✅️;☑️;✔️
checked,🛄;✅️;☑️;✔️
checkered,🏁
cheerful,😀
cheery,😀
cheese,🧀;🍕;🫕;🪤
chef,🔪
chemist,🧪
chemistry,⚗️;🧪
chemotherapy,🦲
cherry,🌸;🍒
chess,♟️
chest,🪎;🧰
chevron,🔰
chick,🐣;🐤;🐥
chicken,🐔;🍗
child,🧒;👦;👧;👪️;🚸
children,👶;🚸
chime,🎐
chin,🤔
chip,🍪
chipmunk,🐿️
chocolate,🫕;🍪;🍫
chop,💇;🥩;🪓
chuck,🤾
church,👼;⛪️;🔔
cigarette,🚬
cinema,🎥;🎞️;📽️;🎦
circle,🛞;⏺️;⭕️;Ⓜ️;🔴;🟠;🟡;🟢;🔵;🟣;🟤;⚫️;⚪️
circus,🎪
citation,👮
citrus,🍊;🍋
city,🏢;🏙️;🌆
clack,🪭
claim,🛄
clamp,🗜️
clap,👏;🪭
clapper,🎬️
class,🚲️
classical,🏛️
classy,🧐
clay,🧱
clean,🧼;🫧;🪥
clever,🤓
climate,🪸
climb,🧗;🪜
clink,🍻;🥂
